n: 100  sum: 1000000    Zeit: 0.000497
n: 200  sum: 8000000    Zeit: 0.002484
n: 300  sum: 27000000    Zeit: 0.008939
n: 400  sum: 64000000    Zeit: 0.02086
n: 500  sum: 125000000    Zeit: 0.040232
n: 600  sum: 216000000    Zeit: 0.070031
n: 700  sum: 343000000    Zeit: 0.109266
n: 800  sum: 512000000    Zeit: 0.165392
n: 900  sum: 729000000    Zeit: 0.233433
n: 1000  sum: 1000000000    Zeit: 0.324819
n: 1100  sum: 1331000000    Zeit: 0.433093
n: 1200  sum: 1728000000    Zeit: 0.560239
n: 1300  sum: -2097967296    Zeit: 0.704276
n: 1400  sum: -1550967296    Zeit: 0.878598
n: 1500  sum: -919967296    Zeit: 1.07876
n: 1600  sum: -198967296    Zeit: 1.32964
n: 1700  sum: 618032704    Zeit: 1.5869
n: 1800  sum: 1537032704    Zeit: 1.867
n: 1900  sum: -1730934592    Zeit: 2.19129
n: 2000  sum: -589934592    Zeit: 2.5554
n: 2100  sum: 671065408    Zeit: 2.95764
n: 2200  sum: 2058065408    Zeit: 3.3978
n: 2300  sum: -717901888    Zeit: 3.88244
n: 2400  sum: 939098112    Zeit: 4.40742
n: 2500  sum: -1554869184    Zeit: 4.98944
n: 2600  sum: 396130816    Zeit: 5.60786
n: 2700  sum: -1791836480    Zeit: 6.27646
n: 2800  sum: 477163520    Zeit: 7.00514
n: 2900  sum: -1380803776    Zeit: 7.78975
n: 3000  sum: 1230196224    Zeit: 8.61979
n: 3100  sum: -273771072    Zeit: 9.51319
n: 3200  sum: -1591738368    Zeit: 10.4664
n: 3300  sum: 1577261632    Zeit: 11.4745
n: 3400  sum: 649294336    Zeit: 12.54
n: 3500  sum: -74672960    Zeit: 13.6858
n: 3600  sum: -588640256    Zeit: 14.9011
n: 3700  sum: -886607552    Zeit: 16.1642
n: 3800  sum: -962574848    Zeit: 17.5153
n: 3900  sum: -810542144    Zeit: 18.9469
n: 4000  sum: -424509440    Zeit: 20.4265
n: 4100  sum: 201523264    Zeit: 22.0027
n: 4200  sum: 1073555968    Zeit: 23.7209
n: 4300  sum: -2097378624    Zeit: 25.6334
n: 4400  sum: -715345920    Zeit: 27.1736
n: 4500  sum: 930686784    Zeit: 29.1141
n: 4600  sum: -1448247808    Zeit: 31.0833
n: 4700  sum: 743784896    Zeit: 33.2438
n: 4800  sum: -1077149696    Zeit: 35.4108
n: 4900  sum: 1684883008    Zeit: 37.6061
n: 5000  sum: 445948416    Zeit: 40.0179
n: 5100  sum: -492986176    Zeit: 42.457
n: 5200  sum: -1125920768    Zeit: 45.142
n: 5300  sum: -1446855360    Zeit: 47.7452
n: 5400  sum: -1449789952    Zeit: 50.2919
n: 5500  sum: -1128724544    Zeit: 53.1201
n: 5600  sum: -477659136    Zeit: 56.0666
n: 5700  sum: 509406272    Zeit: 59.1419
n: 5800  sum: 1838471680    Zeit: 62.2927
n: 5900  sum: -779430208    Zeit: 65.5735
n: 6000  sum: 1251635200    Zeit: 69.0333
n: 6100  sum: -652266688    Zeit: 72.4766
n: 6200  sum: 2104798720    Zeit: 76.101
n: 6300  sum: 938896832    Zeit: 80.1016
n: 6400  sum: 150994944    Zeit: 83.7112
n: 6500  sum: -252906944    Zeit: 87.6708
n: 6600  sum: -266808832    Zeit: 91.9811
n: 6700  sum: 115289280    Zeit: 96.1505
n: 6800  sum: 899387392    Zeit: 100.439
n: 6900  sum: 2091485504    Zeit: 104.899
n: 7000  sum: -597383680    Zeit: 109.988
n: 7100  sum: 1428714432    Zeit: 114.295
n: 7200  sum: -414154752    Zeit: 119.182
n: 7300  sum: -1825023936    Zeit: 124.256
n: 7400  sum: 1497074176    Zeit: 129.434
n: 7500  sum: 968204992    Zeit: 134.742
n: 7600  sum: 889335808    Zeit: 141.923
n: 7700  sum: 1266466624    Zeit: 145.938
n: 7800  sum: 2105597440    Zeit: 151.588
n: 7900  sum: -882239040    Zeit: 157.554
n: 8000  sum: 898891776    Zeit: 164.184
n: 8100  sum: -1134944704    Zeit: 169.775
n: 8200  sum: 1612186112    Zeit: 177.076
n: 8300  sum: 556349632    Zeit: 182.659
n: 8400  sum: -1486848    Zeit: 189.303
n: 8500  sum: -55323328    Zeit: 196.975
n: 8600  sum: 400840192    Zeit: 203.146
n: 8700  sum: 1373003712    Zeit: 210.689
n: 8800  sum: -1427800064    Zeit: 218.353
n: 8900  sum: 594363456    Zeit: 225.033
n: 9000  sum: -1144440320    Zeit: 232.702
n: 9100  sum: 1951723200    Zeit: 241.266
n: 9200  sum: 1298919424    Zeit: 248.597
n: 9300  sum: 1198115648    Zeit: 256.824
n: 9400  sum: 1655311872    Zeit: 265.205
n: 9500  sum: -1618459200    Zeit: 275.315
n: 9600  sum: -27262976    Zeit: 282.507
n: 9700  sum: 2139933248    Zeit: 291.407
n: 9800  sum: 594162176    Zeit: 300.466
n: 9900  sum: -363608896    Zeit: 310.747
n: 10000  sum: -727379968    Zeit: 319.356
