n: 100  sum: 975002490    Zeit: 0
n: 200  sum: 1535238908    Zeit: 0.000496
n: 300  sum: 456853894    Zeit: 0.002483
n: 400  sum: -307209192    Zeit: 0.005464
n: 500  sum: -181259854    Zeit: 0.009436
n: 600  sum: -225944748    Zeit: 0.016887
n: 700  sum: 897635326    Zeit: 0.027317
n: 800  sum: -1921093456    Zeit: 0.038243
n: 900  sum: 973574250    Zeit: 0.057613
n: 1000  sum: -615199700    Zeit: 0.07748
n: 1100  sum: 1658824438    Zeit: 0.10281
n: 1200  sum: 66141640    Zeit: 0.136086
n: 1300  sum: 607188898    Zeit: 0.170357
n: 1400  sum: 1278424452    Zeit: 0.212076
n: 1500  sum: 403178094    Zeit: 0.265717
n: 1600  sum: 667534176    Zeit: 0.313893
n: 1700  sum: 271312730    Zeit: 0.375977
n: 1800  sum: 1258919772    Zeit: 0.45296
n: 1900  sum: 670328422    Zeit: 0.530439
n: 2000  sum: -1128070792    Zeit: 0.618846
n: 2100  sum: -702554222    Zeit: 0.708246
n: 2200  sum: -401083980    Zeit: 0.809069
n: 2300  sum: -22457634    Zeit: 0.934727
n: 2400  sum: -1370359792    Zeit: 1.05045
n: 2500  sum: 77488202    Zeit: 1.1915
n: 2600  sum: 2025342092    Zeit: 1.34746
n: 2700  sum: -604682282    Zeit: 1.51136
n: 2800  sum: 1248175912    Zeit: 1.6688
n: 2900  sum: 459467138    Zeit: 1.86349
n: 3000  sum: -769749020    Zeit: 2.06712
n: 3100  sum: 238077262    Zeit: 2.27175
n: 3200  sum: 2082934464    Zeit: 2.50174
n: 3300  sum: -971834566    Zeit: 2.73568
n: 3400  sum: -2078747716    Zeit: 2.9944
n: 3500  sum: 754862918    Zeit: 3.26856
n: 3600  sum: 112799448    Zeit: 3.55663
n: 3700  sum: 385750386    Zeit: 3.90082
n: 3800  sum: 332337172    Zeit: 4.23607
n: 3900  sum: 1409964478    Zeit: 4.5654
n: 4000  sum: -1074198672    Zeit: 4.9011
n: 4100  sum: -1042434006    Zeit: 5.25919
n: 4200  sum: 914572524    Zeit: 5.64213
n: 4300  sum: 1573613750    Zeit: 6.05883
n: 4400  sum: -885155704    Zeit: 6.57189
n: 4500  sum: 1452630882    Zeit: 6.98474
n: 4600  sum: 206664260    Zeit: 7.44553
n: 4700  sum: 507645998    Zeit: 7.92282
n: 4800  sum: -736632288    Zeit: 8.44035
n: 4900  sum: 2079495962    Zeit: 9.01847
n: 5000  sum: 1525651484    Zeit: 9.52656
n: 5100  sum: -1648838618    Zeit: 10.0818
n: 5200  sum: 1225974840    Zeit: 10.6739
n: 5300  sum: 711775058    Zeit: 11.3304
n: 5400  sum: -932333964    Zeit: 12.0059
n: 5500  sum: 1401153694    Zeit: 12.6953
n: 5600  sum: -1770807600    Zeit: 13.3608
n: 5700  sum: -421160950    Zeit: 14.1585
n: 5800  sum: 368430412    Zeit: 14.8791
n: 5900  sum: 1623335318    Zeit: 15.6738
n: 6000  sum: 1626935784    Zeit: 16.532
n: 6100  sum: -43489982    Zeit: 17.3129
n: 6200  sum: 1519115428    Zeit: 18.1745
n: 6300  sum: -887364850    Zeit: 19.0393
n: 6400  sum: -1063502464    Zeit: 19.8912
n: 6500  sum: -1142244614    Zeit: 20.8009
n: 6600  sum: 1036903548    Zeit: 22.0055
n: 6700  sum: -1216107258    Zeit: 23.0324
n: 6800  sum: 2068849048    Zeit: 23.8901
n: 6900  sum: -1391716046    Zeit: 25.1781
n: 7000  sum: 850650324    Zeit: 26.2101
n: 7100  sum: -1527382146    Zeit: 27.2105
n: 7200  sum: 1069661744    Zeit: 28.2722
n: 7300  sum: -757727254    Zeit: 29.4728
n: 7400  sum: -1303388756    Zeit: 30.8867
n: 7500  sum: -1489413514    Zeit: 32.4358
n: 7600  sum: -535293112    Zeit: 33.7641
n: 7700  sum: -511971550    Zeit: 35.1188
n: 7800  sum: 1989005060    Zeit: 36.5502
n: 7900  sum: -1583464978    Zeit: 38.0983
n: 8000  sum: -1934352160    Zeit: 39.5615
n: 8100  sum: 2048616154    Zeit: 41.0848
n: 8200  sum: -1259095844    Zeit: 42.5301
n: 8300  sum: -2118178330    Zeit: 43.9601
n: 8400  sum: 250668792    Zeit: 45.4595
n: 8500  sum: 1702618898    Zeit: 47.3696
n: 8600  sum: 1499568948    Zeit: 49.1377
n: 8700  sum: 2051055198    Zeit: 50.8741
n: 8800  sum: 65234320    Zeit: 52.6759
n: 8900  sum: -825298998    Zeit: 54.4411
n: 9000  sum: 1087469068    Zeit: 56.3534
n: 9100  sum: 1032919894    Zeit: 58.1964
n: 9200  sum: 387620008    Zeit: 60.1816
n: 9300  sum: 2121269506    Zeit: 62.0298
n: 9400  sum: 1947683172    Zeit: 63.6699
n: 9500  sum: 950608078    Zeit: 65.5014
n: 9600  sum: 1029672000    Zeit: 68.3251
n: 9700  sum: 346331834    Zeit: 70.2605
n: 9800  sum: 1654723900    Zeit: 72.401
n: 9900  sum: -842322234    Zeit: 74.5998
n: 10000  sum: -277531560    Zeit: 76.6908
