n: 100  sum: 12087075    Zeit: 0.000497
n: 200  sum: 196681650    Zeit: 0.00298
n: 300  sum: 1001283725    Zeit: 0.01043
n: 400  sum: 3173393300    Zeit: 0.024336
n: 500  sum: 7760510375    Zeit: 0.048674
n: 600  sum: 16110134950    Zeit: 0.082446
n: 700  sum: 29869767025    Zeit: 0.12963
n: 800  sum: 50986906600    Zeit: 0.19668
n: 900  sum: 81709053675    Zeit: 0.276147
n: 1000  sum: 124583708250    Zeit: 0.382432
n: 1100  sum: 182458370325    Zeit: 0.50511
n: 1200  sum: 258480539900    Zeit: 0.65709
n: 1300  sum: 356097716975    Zeit: 0.837379
n: 1400  sum: 479057401550    Zeit: 1.05442
n: 1500  sum: 631407093625    Zeit: 1.29034
n: 1600  sum: 817494293200    Zeit: 1.55655
n: 1700  sum: 1041966500275    Zeit: 1.862
n: 1800  sum: 1309771214850    Zeit: 2.21712
n: 1900  sum: 1626155936925    Zeit: 2.62737
n: 2000  sum: 1996668166500    Zeit: 3.04754
n: 2100  sum: 2427155403575    Zeit: 3.52335
n: 2200  sum: 2923765148150    Zeit: 4.05478
n: 2300  sum: 3492944900225    Zeit: 4.58533
n: 2400  sum: 4141442159800    Zeit: 5.21152
n: 2500  sum: 4876304426875    Zeit: 5.88003
n: 2600  sum: 5704879201450    Zeit: 6.61862
n: 2700  sum: 6634813983525    Zeit: 7.41383
n: 2800  sum: 7674056273100    Zeit: 8.26949
n: 2900  sum: 8830853570175    Zeit: 9.16548
n: 3000  sum: 10113753374750    Zeit: 10.1608
n: 3100  sum: 11531603186825    Zeit: 11.2664
n: 3200  sum: 13093550506400    Zeit: 12.3372
n: 3300  sum: 14809042833475    Zeit: 13.5217
n: 3400  sum: 16687827668050    Zeit: 14.8063
n: 3500  sum: 18739952510125    Zeit: 16.1382
n: 3600  sum: 20975764859700    Zeit: 17.5894
n: 3700  sum: 23405912216775    Zeit: 19.0745
n: 3800  sum: 26041342081350    Zeit: 20.6534
n: 3900  sum: 28893301953425    Zeit: 22.353
n: 4000  sum: 31973339333000    Zeit: 24.1097
n: 4100  sum: 35293301720075    Zeit: 25.9604
n: 4200  sum: 38865336614650    Zeit: 27.9732
n: 4300  sum: 42701891516725    Zeit: 29.945
n: 4400  sum: 46815713926300    Zeit: 32.0724
n: 4500  sum: 51219851343375    Zeit: 34.3211
n: 4600  sum: 55927651267950    Zeit: 36.6896
n: 4700  sum: 60952761200025    Zeit: 39.0658
n: 4800  sum: 66309128639600    Zeit: 41.6869
n: 4900  sum: 72011001086675    Zeit: 44.3672
n: 5000  sum: 78072926041250    Zeit: 47.185
n: 5100  sum: 84509751003325    Zeit: 50.0153
n: 5200  sum: 91336623472900    Zeit: 52.9949
n: 5300  sum: 98568990949975    Zeit: 56.102
n: 5400  sum: 106222600934550    Zeit: 59.401
n: 5500  sum: 114313500926625    Zeit: 62.6766
n: 5600  sum: 122858038426200    Zeit: 66.2613
n: 5700  sum: 131872860933275    Zeit: 70.0784
n: 5800  sum: 141374915947850    Zeit: 73.5347
n: 5900  sum: 151381450969925    Zeit: 77.485
n: 6000  sum: 161910013499500    Zeit: 81.5869
n: 6100  sum: 172978451036575    Zeit: 85.6792
n: 6200  sum: 184604911081150    Zeit: 90.765
n: 6300  sum: 196807841133225    Zeit: 149.027
n: 6400  sum: 209605988692800    Zeit: 205.636
n: 6500  sum: 223018401259875    Zeit: 105.981
n: 6600  sum: 237064426334450    Zeit: 108.36
n: 6700  sum: 251763711416525    Zeit: 113.485
n: 6800  sum: 267136204006100    Zeit: 117.974
n: 6900  sum: 283202151603175    Zeit: 122.773
n: 7000  sum: 299982101707750    Zeit: 128.286
n: 7100  sum: 317496901819825    Zeit: 133.728
n: 7200  sum: 335767699439400    Zeit: 139.515
n: 7300  sum: 354815942066475    Zeit: 145.366
n: 7400  sum: 374663377201050    Zeit: 151.446
n: 7500  sum: 395332052343125    Zeit: 157.706
n: 7600  sum: 416844314992700    Zeit: 164.018
n: 7700  sum: 439222812649775    Zeit: 170.512
n: 7800  sum: 462490492814350    Zeit: 177.3
n: 7900  sum: 486670602986425    Zeit: 184.218
