n: 100  sum: 12087075    Zeit: 0.0035
n: 200  sum: 196681650    Zeit: 0.0505
n: 300  sum: 1001283725    Zeit: 0.2505
n: 400  sum: -1121573996    Zeit: 0.787
n: 500  sum: -829424217    Zeit: 1.903
n: 600  sum: -1069734234    Zeit: 3.89168
n: 700  sum: -195004047    Zeit: 7.204
n: 800  sum: -552700952    Zeit: 12.2107
n: 900  sum: 104675051    Zeit: 19.5071
n: 1000  sum: 29656666    Zeit: 29.7562
n: 1100  sum: 2069743893    Zeit: 43.5088
n: 1200  sum: 782502140    Zeit: 61.5399
n: 1300  sum: -384568593    Zeit: 84.8166
n: 1400  sum: -1978935602    Zeit: 113.969
n: 1500  sum: 46901113    Zeit: 150.152
n: 1600  sum: 1450506960    Zeit: 194.608
n: 1700  sum: -1710552653    Zeit: 247.925
n: 1800  sum: -193810430    Zeit: 311.482
n: 1900  sum: -1636668259    Zeit: 386.587
